n,mot,categorie,objet_anglais,prompt_a_copier_coller
1,papa,Personnes,a dad character,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a dad character. Personnage simple et rond, yeux fermés souriants."
2,maman,Personnes,a mom character,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a mom character. Personnage simple et rond, yeux fermés souriants."
3,bébé,Personnes,a baby,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a baby. Personnage simple et rond, yeux fermés souriants."
4,papi,Personnes,a grandpa character,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a grandpa character. Personnage simple et rond, yeux fermés souriants."
5,mamie,Personnes,a grandma character,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a grandma character. Personnage simple et rond, yeux fermés souriants."
6,chat,Animaux,a cat,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a cat. Yeux fermés souriants."
7,chien,Animaux,a dog,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a dog. Yeux fermés souriants."
8,lapin,Animaux,a rabbit,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a rabbit. Yeux fermés souriants."
9,oiseau,Animaux,a little bird,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a little bird. Yeux fermés souriants."
10,poisson,Animaux,a fish,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a fish. Yeux fermés souriants."
11,canard,Animaux,a duck,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a duck. Yeux fermés souriants."
12,vache,Animaux,a cow,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a cow. Yeux fermés souriants."
13,cheval,Animaux,a horse,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a horse. Yeux fermés souriants."
14,cochon,Animaux,a pig,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a pig. Yeux fermés souriants."
15,mouton,Animaux,a sheep,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a sheep. Yeux fermés souriants."
16,poule,Animaux,a hen,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a hen. Yeux fermés souriants."
17,poussin,Animaux,a chick,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a chick. Yeux fermés souriants."
18,ours,Animaux,a bear,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a bear. Yeux fermés souriants."
19,souris,Animaux,a mouse,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a mouse. Yeux fermés souriants."
20,éléphant,Animaux,an elephant,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : an elephant. Yeux fermés souriants."
21,lion,Animaux,a lion,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a lion. Yeux fermés souriants."
22,singe,Animaux,a monkey,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a monkey. Yeux fermés souriants."
23,grenouille,Animaux,a frog,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a frog. Yeux fermés souriants."
24,tortue,Animaux,a turtle,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a turtle. Yeux fermés souriants."
25,papillon,Animaux,a butterfly,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a butterfly. Yeux fermés souriants."
26,escargot,Animaux,a snail,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a snail. Yeux fermés souriants."
27,abeille,Animaux,a bee,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a bee. Yeux fermés souriants."
28,eau,Aliments,a glass of water,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a glass of water. Pas de visage sur l'objet."
29,lait,Aliments,a glass of milk,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a glass of milk. Pas de visage sur l'objet."
30,biberon,Aliments,a baby bottle,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a baby bottle. Pas de visage sur l'objet."
31,pain,Aliments,a bread loaf,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a bread loaf. Pas de visage sur l'objet."
