mot,categorie,terme_anglais_prompt,illustrable,priorite
chat,Animaux,cat,oui,1
chien,Animaux,dog,oui,1
lapin,Animaux,rabbit,oui,1
oiseau,Animaux,bird,oui,1
poisson,Animaux,fish,oui,1
vache,Animaux,cow,oui,1
cheval,Animaux,horse,oui,1
cochon,Animaux,pig,oui,1
mouton,Animaux,sheep,oui,1
poule,Animaux,hen,oui,1
coq,Animaux,rooster,oui,1
canard,Animaux,duck,oui,1
souris,Animaux,mouse,oui,1
ours,Animaux,bear,oui,1
lion,Animaux,lion,oui,1
tigre,Animaux,tiger,oui,1
éléphant,Animaux,elephant,oui,1
singe,Animaux,monkey,oui,1
girafe,Animaux,giraffe,oui,1
zèbre,Animaux,zebra,oui,1
loup,Animaux,wolf,oui,1
renard,Animaux,fox,oui,1
grenouille,Animaux,frog,oui,1
tortue,Animaux,turtle,oui,1
escargot,Animaux,snail,oui,1
papillon,Animaux,butterfly,oui,1
abeille,Animaux,bee,oui,1
coccinelle,Animaux,ladybug,oui,1
araignée,Animaux,spider,oui,1
fourmi,Animaux,ant,oui,1
serpent,Animaux,snake,oui,1
dinosaure,Animaux,dinosaur,oui,1
chèvre,Animaux,goat,oui,1
âne,Animaux,donkey,oui,1
hérisson,Animaux,hedgehog,oui,1
écureuil,Animaux,squirrel,oui,1
hibou,Animaux,owl,oui,1
pingouin,Animaux,penguin,oui,1
dauphin,Animaux,dolphin,oui,1
baleine,Animaux,whale,oui,1
crabe,Animaux,crab,oui,1
poussin,Animaux,chick,oui,1
pain,Aliments & boissons,bread loaf,oui,1
lait,Aliments & boissons,glass of milk,oui,1
eau,Aliments & boissons,glass of water,oui,1
jus,Aliments & boissons,juice box,oui,1
compote,Aliments & boissons,apple sauce bowl,oui,1
yaourt,Aliments & boissons,yogurt pot,oui,1
fromage,Aliments & boissons,cheese,oui,1
banane,Aliments & boissons,banana,oui,1
pomme,Aliments & boissons,apple,oui,1
poire,Aliments & boissons,pear,oui,1
fraise,Aliments & boissons,strawberry,oui,1
orange,Aliments & boissons,orange fruit,oui,1
raisin,Aliments & boissons,grapes,oui,1
cerise,Aliments & boissons,cherries,oui,1
pêche,Aliments & boissons,peach,oui,1
citron,Aliments & boissons,lemon,oui,1
tomate,Aliments & boissons,tomato,oui,1
carotte,Aliments & boissons,carrot,oui,1
pomme de terre,Aliments & boissons,potato,oui,1
petits pois,Aliments & boissons,peas,oui,1
soupe,Aliments & boissons,bowl of soup,oui,1
pâtes,Aliments & boissons,bowl of pasta,oui,1
riz,Aliments & boissons,bowl of rice,oui,1
œuf,Aliments & boissons,egg,oui,1
poulet,Aliments & boissons,roast chicken,oui,1
jambon,Aliments & boissons,ham slice,oui,1
gâteau,Aliments & boissons,birthday cake,oui,1
biscuit,Aliments & boissons,cookie,oui,1
bonbon,Aliments & boissons,candy,oui,1
chocolat,Aliments & boissons,chocolate bar,oui,1
glace,Aliments & boissons,ice cream cone,oui,1
confiture,Aliments & boissons,jam jar,oui,1
miel,Aliments & boissons,honey pot,oui,1
céréales,Aliments & boissons,cereal bowl,oui,1
crêpe,Aliments & boissons,pancake,oui,1
frites,Aliments & boissons,french fries,oui,1
pizza,Aliments & boissons,pizza slice,oui,1
sucre,Aliments & boissons,sugar cubes,oui,1
tête,Corps,child head,oui,1
cheveux,Corps,hair,oui,1
yeux,Corps,eyes,oui,1
nez,Corps,nose,oui,1
bouche,Corps,mouth,oui,1
oreille,Corps,ear,oui,1
dent,Corps,tooth,oui,1
langue,Corps,tongue,oui,1
main,Corps,hand,oui,1
doigt,Corps,finger,oui,1
bras,Corps,arm,oui,1
jambe,Corps,leg,oui,1
pied,Corps,foot,oui,1
ventre,Corps,belly,oui,1
dos,Corps,back,oui,1
genou,Corps,knee,oui,1
cœur,Corps,heart,oui,1
joue,Corps,cheek,oui,1
chaussure,Vêtements,shoe,oui,1
chaussette,Vêtements,sock,oui,1
pantalon,Vêtements,pants,oui,1
tee-shirt,Vêtements,t-shirt,oui,1
pull,Vêtements,sweater,oui,1
robe,Vêtements,dress,oui,1
jupe,Vêtements,skirt,oui,1
manteau,Vêtements,coat,oui,1
bonnet,Vêtements,beanie hat,oui,1
chapeau,Vêtements,hat,oui,1
écharpe,Vêtements,scarf,oui,1
gant,Vêtements,mitten,oui,1
pyjama,Vêtements,pajamas,oui,1
